"age","annee","etang","id_site_mesure","n_bague"
"adult",1978,"PRE PEILLON","PP_C",16
"adult",1979,"FERME DUMOULIN","DU_C",46
"adult",1979,"SUD D'UNIAS","SU_C",9
"adult",1980,"ORDURES VEAUCHE","VE_C",162
"adult",1980,"PRE FORET","PF_C",74
"adult",1981,"FERME DUMOULIN","DU_C",25
"adult",1981,"ORDURES VEAUCHE","VE_C",260
"adult",1982,"DECHARGE TREMOLINS","TR_C",165
"adult",1983,"DECHARGE TREMOLINS","TR_C",65
"adult",1984,"DECHARGE TREMOLINS","TR_C",91
"adult",1984,"FERME DUMOULIN","DU_C",2
"adult",1984,"LA RONZE","LR_C",1
"adult",1984,"PRE PEILLON","PP_C",6
"adult",1984,"REPOSOIR EST","RE_C",29
"adult",1985,"DECHARGE TREMOLINS","TR_C",280
"adult",1986,"DECHARGE TREMOLINS","TR_C",33
"adult",1987,"DECHARGE TREMOLINS","TR_C",38
"adult",1987,"LA VERGNAT","LV_C",24
"adult",1988,"DECHARGE TREMOLINS","TR_C",30
"adult",1988,"PRE FAURE","RF_C",18
"adult",1988,"PRE MEYNARD","PM_C",23
"adult",1989,"DECHARGE TREMOLINS","TR_C",114
"adult",1989,"LA RONZE","LR_C",4
"adult",1990,"DECHARGE TREMOLINS","TR_C",91
"adult",1993,"DECHARGE TREMOLINS","TR_C",130
"adult",1993,"PRE MATHIEU PEILLON","MP_C",9
"adult",1993,"PRE PAUL CROZIER","PC_C",4
"adult",1993,"REPOSOIR EST","RE_C",36
"adult",1994,"CIMETIERE","UC_C",5
"adult",1994,"DECHARGE TREMOLINS","TR_C",272
"adult",1994,"LA VERGNAT","L2_C",22
"adult",1994,"MOULIN SUGNY","MS_C",19
"adult",1994,"PRE","JR_C",1
"adult",1994,"PRE","M2_C",6
"adult",1994,"PRE 2","P2_C",8
"adult",1994,"PRE CHAMBON","GR_C",3
"adult",1995,"DECHARGE TREMOLINS","TR_C",49
"adult",1996,"DECHARGE TREMOLINS","TR_C",20
"adult",1999,"PETITS COLMANS/MARQUANTS","OR_C",10
"adult",1999,"PROCHE LA RONZE","LO_C",48
"adult",2000,"ARTHUN /COLMANS","BA_C",16
"adult",2000,"PROCHE LES MARQUANTS","MA_C",38
"adult",2005,"FERME LA RONZE","FR_C",111
"adult",2005,"LES QUATRE ROUTES","QR_C",41
"adult",2014,"La Ronze","LR_E",1
"adult",2016,"Nord Etang Urfé","UG_1_C",7
"adult",2016,"Sud Les places","WV_1_C",4
"adult",2016,"Sud la Ronze","LR_1_C",16
"adult",2017,"Champs Lavergnat","LV_1_C",5
"adult",2017,"Champs Les Marquants","MA_1_C",8
"adult",2017,"Champs Motasse","MO_C",1
"adult",2017,"Chavot-LaurentLaConche","ECH_C",18
"adult",2017,"Vieux Ouest","WV_E",6
"adult",2018,"La Ronze","LR_E",9
"adult",2019,"La Ronze","LR_E",7
"adult",2021,"La Ronze","LR_E",4
"adult",2022,"La Ronze","LR_E",4
"chick",1968,"","A_E",1
"chick",1970,"","V_E",1
"chick",1970,"La Ronze","LR_E",1
"chick",1971,"La Ronze","LR_E",4
"chick",1971,"Saint-Marcellin","SM_E",1
"chick",1972,"","R_E",7
"chick",1972,"","V_E",1
"chick",1972,"La Ronze","LR_E",8
"chick",1972,"Saint-Marcellin","SM_E",6
"chick",1973,"","A_E",1
"chick",1973,"","D_E",1
"chick",1973,"Helene","HV_E",1
"chick",1973,"La Ronze","LR_E",7
"chick",1974,"","V_E",1
"chick",1974,"La Ronze","LR_E",9
"chick",1974,"Saint-Marcellin","SM_E",1
"chick",1976,"Grand Prau","GP_E",3
"chick",1976,"La Ronze","LR_E",1096
"chick",1976,"La Vergnat","LV_E",128
"chick",1976,"Les Varennes","CL_E",61
"chick",1976,"Totte","10_E",10
"chick",1976,"Vieux Ouest","WV_E",88
"chick",1977,"La Ronze","LR_E",640
"chick",1977,"La Vergnat","LV_E",214
"chick",1977,"Les Varennes","CL_E",134
"chick",1977,"Vieux Ouest","WV_E",74
"chick",1978,"Grands Colmans","GC_E",46
"chick",1978,"La Ronze","LR_E",1276
"chick",1978,"La Vergnat","LV_E",58
"chick",1978,"Le Mas","LM_E",217
"chick",1978,"Les Varennes","CL_E",180
"chick",1979,"Grands Colmans","GC_E",3
"chick",1979,"Grangeneuve","GN_E",121
"chick",1979,"La Ronze","LR_E",678
"chick",1979,"La Verchere","PC_E",33
"chick",1979,"Rozet","RZ_E",475
"chick",1979,"Sury","SV_E",11
"chick",1980,"Grands Colmans","GC_E",23
"chick",1980,"Grangeneuve","GN_E",145
"chick",1980,"Helene","HV_E",3
"chick",1980,"La Ronze","LR_E",1044
"chick",1980,"La Verchere","PC_E",26
"chick",1980,"La Vergnat","LV_E",33
"chick",1980,"Le Mas","LM_E",31
"chick",1980,"Les Pierres","PI_E",235
"chick",1980,"Les Varennes","CL_E",296
"chick",1980,"Sury","SV_E",42
"chick",1981,"Grangeneuve","GN_E",30
"chick",1981,"Helene","HV_E",22
"chick",1981,"La Ronze","LR_E",849
"chick",1981,"La Verchere","PC_E",18
"chick",1981,"La Vergnat","LV_E",30
"chick",1981,"Les Varennes","CL_E",200
"chick",1981,"Sury","SV_E",32
"chick",1982,"Grangeneuve","GN_E",6
"chick",1982,"Helene","HV_E",44
"chick",1982,"La Ronze","LR_E",893
"chick",1982,"La Vergnat","LV_E",15
"chick",1982,"Le Mas","LM_E",11
"chick",1982,"Les Charbonnieres","CR_E",125
"chick",1982,"Les Pierres","PI_E",92
"chick",1982,"Les Varennes","CL_E",139
"chick",1982,"Rozet","RZ_E",109
"chick",1982,"Saint-Marcellin","SM_E",17
"chick",1983,"Arthun 15","15_E",14
"chick",1983,"Grands Colmans","GC_E",11
"chick",1983,"Grangeneuve","GN_E",51
"chick",1983,"Helene","HV_E",160
"chick",1983,"La Ronze","LR_E",1488
"chick",1983,"La Verchere","PC_E",27
"chick",1983,"Le Mas","LM_E",42
"chick",1983,"Les Aires Ouest","AW_E",14
"chick",1983,"Les Charbonnieres","CR_E",33
"chick",1983,"Les Pierres","PI_E",2
"chick",1983,"Les Varennes","CL_E",230
"chick",1983,"Rozet","RZ_E",110
"chick",1984,"Arthun Sud 13","13_E",1
"chick",1984,"Grands Colmans","GC_E",31
"chick",1984,"Grangeneuve","GN_E",42
"chick",1984,"Helene","HV_E",197
"chick",1984,"La Ronze","LR_E",1159
"chick",1984,"La Verchere","PC_E",111
"chick",1984,"Les Charbonnieres","CR_E",38
"chick",1984,"Les Varennes","CL_E",2
"chick",1984,"Ouest des Aires","WA_E",32
"chick",1985,"Etang Raymond","RA_E",93
"chick",1985,"Grangeneuve","GN_E",90
"chick",1985,"Helene","HV_E",86
"chick",1985,"La Ronze","LR_E",897
"chick",1985,"La Verchere","PC_E",211
"chick",1985,"La Vergnat","LV_E",29
"chick",1985,"Les Aires Ouest","AW_E",115
"chick",1985,"Les Charbonnieres","CR_E",135
"chick",1985,"Les Marquants","MA_E",595
"chick",1985,"Les Varennes","CL_E",18
"chick",1985,"Ouest des Aires","WA_E",31
"chick",1986,"Etang Raymond","RA_E",517
"chick",1986,"Grands Colmans","GC_E",6
"chick",1986,"Grangeneuve","GN_E",109
"chick",1986,"La Ronze","LR_E",1899
"chick",1986,"La Verchere","PC_E",185
"chick",1986,"La Vergnat","LV_E",33
"chick",1986,"Les Aires Ouest","AW_E",227
"chick",1986,"Les Charbonnieres","CR_E",40
"chick",1986,"Les Marquants","MA_E",210
"chick",1986,"Les Varennes","CL_E",85
"chick",1987,"Arthun Sud 13","13_E",1
"chick",1987,"Grangeneuve","GN_E",41
"chick",1987,"La Ronze","LR_E",1107
"chick",1987,"La Verchere","PC_E",44
"chick",1987,"La Vergnat","LV_E",48
"chick",1987,"Les Varennes","CL_E",74
"chick",1988,"Etang Raymond","RA_E",28
"chick",1988,"Grangeneuve","GN_E",7
"chick",1988,"La Ronze","LR_E",1727
"chick",1988,"La Vergnat","LV_E",117
"chick",1988,"Les Marquants","MA_E",179
"chick",1988,"Les Varennes","CL_E",101
"chick",1989,"Etang Raymond","RA_E",43
"chick",1989,"Grands Colmans","GC_E",51
"chick",1989,"Grangeneuve","GN_E",7
"chick",1989,"La Ronze","LR_E",1178
"chick",1989,"Les Marquants","MA_E",76
"chick",1989,"Les Varennes","CL_E",50
"chick",1990,"Grands Colmans","GC_E",51
"chick",1990,"Grangeneuve","GN_E",147
"chick",1990,"La Ronze","LR_E",1550
"chick",1990,"La Verchere","PC_E",30
"chick",1991,"Grands Colmans","GC_E",20
"chick",1991,"Grangeneuve","GN_E",5
"chick",1991,"La Ronze","LR_E",1255
"chick",1991,"La Verchere","PC_E",25
"chick",1991,"La Vergnat","LV_E",23
"chick",1991,"Les Varennes","CL_E",207
"chick",1992,"Grands Colmans","GC_E",19
"chick",1992,"La Ronze","LR_E",1088
"chick",1992,"La Verchere","PC_E",17
"chick",1992,"La Vergnat","LV_E",168
"chick",1992,"Les Varennes","CL_E",3
"chick",1993,"La Ronze","LR_E",1624
"chick",1993,"La Vergnat","LV_E",119
"chick",1993,"Les Marquants","MA_E",580
"chick",1993,"Les Varennes","CL_E",9
"chick",1994,"Etang Raymond","RA_E",56
"chick",1994,"La Ronze","LR_E",886
"chick",1994,"Les Marquants","MA_E",355
"chick",1994,"Les Varennes","CL_E",30
"chick",1995,"Bruyeres Valeille","BV_E",3
"chick",1995,"Grabouille","GR_E",4
"chick",1995,"Grands Colmans","GC_E",5
"chick",1995,"La Ronze","LR_E",915
"chick",1995,"La Verchere","PC_E",96
"chick",1995,"La Vergnat","LV_E",97
"chick",1995,"Lapines Sud","LS_E",28
"chick",1995,"Les Marquants","MA_E",79
"chick",1995,"Les Varennes","CL_E",5
"chick",1995,"Vieux Ouest","WV_E",25
"chick",1996,"Bruyeres Valeille","BV_E",51
"chick",1996,"Grabouille","GR_E",5
"chick",1996,"Grands Colmans","GC_E",2
"chick",1996,"La Ronze","LR_E",1471
"chick",1996,"La Vallon 5","V5_E",74
"chick",1996,"La Verchere","PC_E",174
"chick",1996,"Les Marquants","MA_E",49
"chick",1997,"Chambet Sud","CS_E",5
"chick",1997,"La Loge d'Arthun","A6_E",11
"chick",1997,"La Ronze","LR_E",1559
"chick",1997,"La Vallon 5","V5_E",33
"chick",1997,"Les Marquants","MA_E",44
"chick",1997,"Les Varennes","CL_E",5
"chick",1997,"Sury","SV_E",7
"chick",1998,"Grands Colmans","GC_E",11
"chick",1998,"La Ronze","LR_E",1582
"chick",1998,"La Vallon 5","V5_E",57
